Pitches,Pitcher,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,spin_rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K_percent,BB_percent,hard_hit_percent,barrel_percent,ERA_t1,Salary,salary_t1,BFP_per_G,BABIP_minus_meanBABIP,xwOBA_minus_wOBA,ERA/Barrel %,ERA/Hard Hit %,luck_adj_ERA,.pred
3492,Dallas Keuchel,2015,0.217,0.269,0.254,0.272,0.23,185,854,1991,86.3,20,8,33,911,2.48,185,17,51,216,0.237,0.056,28,3.3,4.55,524500,15.796512026830857,27.606060606060606,-0.0271,0.018000000000000016,0.752,0.089,2.62,15.02997823686778
3298,Edinson Volquez,2015,0.251,0.293,0.305,0.34,0.269,190,758,2121,88.8,13,9,34,850,3.55,190,16,72,155,0.182,0.085,33.5,5.9,5.37,7500000,16.06680235657077,25,-0.0031,0.03500000000000003,0.602,0.106,3.68,16.11634087846351
3275,Julio Teheran,2015,0.253,0.293,0.322,0.341,0.268,189,748,2078,87.2,11,8,33,843,4.04,189,27,73,171,0.203,0.087,36.6,5.1,3.21,1000000,15.058703883135781,25.545454545454547,-0.0031,0.019000000000000017,0.792,0.11,4.02,15.140250728325874
3247,Shelby Miller,2015,0.238,0.289,0.29,0.292,0.231,183,769,2199,91.3,6,17,33,860,3.02,183,13,73,171,0.199,0.085,27.7,3.6,6.15,535000,15.285686403064867,26.060606060606062,-0.0071,0.0020000000000000018,0.839,0.109,2.97,14.976864394009045
2976,Jacob deGrom,2015,0.215,0.277,0.251,0.263,0.216,149,694,2176,92.2,14,8,30,751,2.54,149,16,38,205,0.273,0.051,29.6,4,3.04,556875,13.316284070041636,25.033333333333335,-0.0191,0.01200000000000001,0.635,0.086,2.78,14.64575661711946
2913,Marco Estrada,2015,0.203,0.217,0.276,0.296,0.222,134,659,2302,85.4,13,8,34,725,3.13,134,24,55,131,0.181,0.076,30.8,5.3,3.48,3900000,16.25785759333348,21.323529411764707,-0.0791,0.019999999999999962,0.591,0.102,3.29,15.58693315553352
2869,Trevor Bauer,2015,0.232,0.279,0.314,0.317,0.233,152,655,2170,88.9,11,12,31,744,4.55,152,23,79,170,0.228,0.106,33.9,5.9,4.26,1940000,14.344667138414989,24,-0.0171,0.0030000000000000027,0.771,0.134,4.39,15.159119122172765
2744,Rick Porcello,2015,0.287,0.333,0.34,0.334,0.272,196,682,2392,88,9,15,28,737,4.92,196,25,38,149,0.202,0.052,36.3,5.6,3.15,12500000,16.8174733812689,26.321428571428573,0.0369,-0.006000000000000005,0.879,0.136,4.67,16.397530054136105
2548,Michael Pineda,2015,0.278,0.335,0.322,0.294,0.245,176,634,2012,90.4,12,10,27,668,4.37,176,21,21,156,0.234,0.031,34,5.7,4.82,2100000,15.27412558066379,24.74074074074074,0.0389,-0.028000000000000025,0.767,0.129,4.24,15.22522321988533
2532,Anibal Sanchez,2015,0.252,0.281,0.33,0.311,0.246,152,603,2199,88.9,10,10,25,660,4.99,152,29,49,138,0.209,0.074,31.1,6.1,5.87,16800000,16.636889444373487,26.4,-0.0151,-0.019000000000000017,0.818,0.16,4.63,16.729438618183675
2448,Jered Weaver,2015,0.264,0.275,0.33,0.317,0.246,163,617,2050,77.8,7,12,26,669,4.64,163,24,33,90,0.135,0.049,28.5,6.2,5.06,18000000,16.821193162371433,25.73076923076923,-0.0211,-0.013000000000000012,0.748,0.163,4.31,16.734235672269655
2360,Danny Duffy,2015,0.264,0.3,0.327,0.339,0.262,137,518,2233,90.3,7,8,30,588,4.08,137,15,53,102,0.173,0.09,32.8,4.5,3.51,2425000,15.25652981877341,19.6,0.0039,0.01200000000000001,0.907,0.124,3.89,15.2734811230068
2150,Justin Verlander,2015,0.229,0.268,0.276,0.268,0.221,113,493,2419,89.3,5,8,20,535,3.38,113,13,32,113,0.211,0.06,27.6,4.1,3.04,28000000,17.14771506813948,26.75,-0.0281,-0.008000000000000007,0.824,0.122,3.26,17.12054417830482
1868,Hisashi Iwakuma,2015,0.24,0.274,0.29,0.316,0.264,117,487,1985,85.4,9,5,20,516,3.54,117,18,21,111,0.215,0.041,34.2,5.5,4.12,7000000,16.211230375265238,25.8,-0.0221,0.026000000000000023,0.644,0.104,3.66,16.16499712181741
949,Josh Tomlin,2015,0.195,0.199,0.274,0.325,0.242,47,241,2380,85.8,7,2,10,251,3.02,47,13,8,57,0.227,0.032,36.4,11.4,4.4,1500000,14.626440774180603,25.1,-0.0971,0.05099999999999999,0.265,0.083,3.53,15.101770094201674
767,Jordan Lyles,2015,0.29,0.335,0.331,0.325,0.269,54,186,1883,89.8,2,5,10,212,5.14,54,2,19,30,0.142,0.09,36.3,2.5,5.83,2475000,14.905754596961867,21.2,0.0389,-0.006000000000000005,2.056,0.142,4.04,15.018616979165152
3595,David Price,2016,0.258,0.314,0.309,0.302,0.244,227,879,2055,89.4,17,9,35,951,3.99,227,30,50,228,0.24,0.053,33,6.3,3.38,30000000,17.216707939626428,27.17142857142857,0.0179,-0.007000000000000006,0.633,0.121,4,17.275812667784066
3431,Chris Sale,2016,0.227,0.281,0.282,0.298,0.237,190,837,2218,88.6,17,10,32,907,3.34,190,27,45,233,0.257,0.05,33.2,5.7,2.9,9150000,16.300417207752275,28.34375,-0.0151,0.016000000000000014,0.586,0.101,3.51,16.26222911775219
3409,Chris Archer,2016,0.238,0.3,0.304,0.309,0.232,183,769,2171,91.7,9,19,33,850,4.02,183,30,67,233,0.274,0.079,40.5,8.4,4.07,2916667,15.408141216488763,25.757575757575758,0.0039,0.0050000000000000044,0.479,0.099,4.28,15.248862859702651
3355,Tanner Roark,2016,0.228,0.274,0.282,0.314,0.245,173,758,2173,88.9,16,10,34,855,2.83,173,17,73,172,0.201,0.085,30.5,5.4,4.67,543400,15.277607882499666,25.147058823529413,-0.0221,0.03200000000000003,0.524,0.093,3.1,14.880157682250292
3299,Johnny Cueto,2016,0.238,0.296,0.276,0.297,0.25,195,818,2136,88.3,18,5,32,881,2.79,195,15,45,198,0.225,0.051,33.2,4.4,4.52,17500000,16.972510979114386,27.53125,-1e-4,0.020999999999999963,0.634,0.084,3.04,16.96645670743808
3124,Jake Arrieta,2016,0.194,0.242,0.261,0.298,0.226,138,710,2366,91.7,18,8,31,795,3.1,138,16,76,190,0.239,0.096,29.8,4.8,3.53,10700000,16.565182433757304,25.64516129032258,-0.0541,0.03699999999999998,0.646,0.104,3.21,16.25701033995138
3102,Marcus Stroman,2016,0.264,0.31,0.312,0.314,0.262,209,792,2314,90.3,9,10,32,855,4.37,209,21,54,166,0.194,0.063,41.9,4.9,3.09,515900,15.03928598958639,26.71875,0.0139,0.0020000000000000018,0.892,0.104,4.32,14.844882457841413
3092,Trevor Bauer,2016,0.248,0.294,0.31,0.334,0.262,179,721,2264,89.1,12,8,35,811,4.26,179,20,70,168,0.207,0.086,39.5,5.7,4.19,1697500,15.082458161451598,23.17142857142857,-0.0021,0.02400000000000002,0.747,0.108,4.28,15.228941709852169
3017,Michael Pineda,2016,0.266,0.34,0.335,0.307,0.234,184,693,2038,90.7,6,12,32,756,4.82,184,27,53,207,0.274,0.07,39.1,6.7,4.39,4300000,15.816990558174398,23.625,0.0439,-0.028000000000000025,0.719,0.123,4.76,15.654309952911166
2492,Ubaldo Jimenez,2016,0.268,0.319,0.337,0.324,0.247,150,560,2037,86.9,8,12,29,638,5.44,150,16,72,125,0.196,0.113,32.3,5,6.81,12673102,16.41820024340866,22,0.0229,-0.013000000000000012,1.088,0.168,4.84,16.045203536558507
2385,Stephen Strasburg,2016,0.218,0.298,0.277,0.276,0.214,119,546,2203,92,15,4,24,598,3.6,119,15,44,183,0.306,0.074,33.6,6,2.52,10400000,16.724231436346816,24.916666666666668,0.0019,-0.0010000000000000009,0.6,0.107,3.73,16.359869546432837
2354,Jacob deGrom,2016,0.255,0.316,0.297,0.32,0.262,142,557,2246,90.9,7,8,24,604,3.04,142,15,36,143,0.237,0.06,31.8,6.4,3.53,607000,15.214227439082721,25.166666666666668,0.0199,0.02300000000000002,0.475,0.096,3.32,14.946533083448294
2311,Taijuan Walker,2016,0.247,0.269,0.326,0.329,0.249,129,522,2032,90.8,8,11,25,573,4.22,129,27,37,119,0.208,0.065,36.7,9,3.49,528600,14.626440774180603,22.92,-0.0271,0.0030000000000000027,0.469,0.115,4.39,14.640867809312809
2062,Clayton Kershaw,2016,0.184,0.256,0.204,0.226,0.196,97,526,2330,88.7,12,4,21,544,1.69,97,8,11,172,0.316,0.02,27.3,4.5,2.31,33000000,17.38705328930941,25.904761904761905,-0.0401,0.02200000000000002,0.376,0.062,2.26,17.073413449199208
1707,Jordan Zimmermann,2016,0.284,0.305,0.34,0.341,0.272,118,416,2364,89.2,9,7,19,450,4.87,118,14,26,66,0.147,0.058,34,6.5,6.08,18000000,16.70588231586044,23.68421052631579,0.0089,0.0010000000000000009,0.749,0.143,4.66,16.72527932212482
1579,Yu Darvish,2016,0.214,0.29,0.276,0.268,0.2,81,378,2454,89.1,7,5,17,416,3.41,81,12,31,132,0.317,0.075,32,6,4.01,10000000,16.213405830762646,24.470588235294116,-0.0061,-0.008000000000000007,0.568,0.107,3.56,16.349399548822067
3428,Chris Sale,2017,0.208,0.303,0.26,0.258,0.197,165,794,2281,88.2,17,8,32,851,2.9,165,24,43,308,0.362,0.051,30.5,6.1,2.11,12000000,16.34243848284801,26.59375,0.0069,-0.0020000000000000018,0.475,0.095,3.19,16.65655995092112
3273,Jeff Samardzija,2017,0.255,0.305,0.309,0.308,0.251,204,801,2382,90.2,9,15,32,847,4.42,204,30,32,205,0.242,0.038,33.8,6.3,6.25,19800000,16.801192495664765,26.46875,0.0089,-0.0010000000000000009,0.702,0.131,4.32,16.896591640762914
3176,Jose Quintana,2017,0.238,0.301,0.301,0.315,0.246,170,715,2010,87.3,4,8,18,444,4.49,98,14,40,109,0.245,0.09,35.7,5.9,4.03,7000000,15.995928016984113,24.666666666666668,0.0049,0.014000000000000012,0.761,0.126,4.38,15.97164786874184
3097,Martin Perez,2017,0.301,0.33,0.349,0.368,0.304,221,735,2074,88.9,13,12,32,811,4.82,221,23,63,115,0.142,0.078,32.3,5.4,6.22,4650000,15.60727002719233,25.34375,0.0339,0.019000000000000017,0.893,0.149,4.48,15.83081421147666
3080,Drew Pomeranz,2017,0.252,0.311,0.31,0.323,0.253,166,659,2288,86.5,17,6,32,740,3.32,166,19,69,174,0.235,0.093,35.7,6.7,6.08,4450000,15.955576721460545,23.125,0.0149,0.013000000000000012,0.496,0.093,3.61,15.775866305608162
2945,Corey Kluber,2017,0.193,0.268,0.24,0.257,0.21,141,732,2392,89.1,18,4,29,777,2.25,141,21,36,265,0.341,0.046,29.3,5.3,2.89,7950000,16.185754299432134,26.79310344827586,-0.0281,0.017000000000000015,0.425,0.077,2.69,16.428208865047413
2810,Masahiro Tanaka,2017,0.257,0.307,0.326,0.324,0.251,180,700,2069,87.5,13,12,30,752,4.74,180,35,41,194,0.258,0.055,36.3,8.6,3.75,22000000,16.90655301132259,25.066666666666666,0.0109,-0.0020000000000000018,0.551,0.131,4.75,17.013827606663934
2779,Mike Leake,2017,0.278,0.312,0.317,0.329,0.277,201,724,2128,87.2,7,12,26,654,4.21,169,19,35,103,0.157,0.054,36.3,5.1,4.36,15000000,16.64872390202049,25.153846153846153,0.0159,0.01200000000000001,0.825,0.116,4.12,16.54042567376364
2770,Mike Foltynewicz,2017,0.277,0.332,0.342,0.341,0.268,169,610,2291,90.9,10,13,29,692,4.79,169,20,59,143,0.207,0.085,32.8,5.4,2.85,544000,14.603967918328545,23.862068965517242,0.0359,-0.0010000000000000009,0.887,0.146,4.47,14.770752548597939
2742,Stephen Strasburg,2017,0.205,0.276,0.252,0.27,0.208,131,640,2240,91,15,4,28,701,2.52,131,13,47,204,0.291,0.067,32.1,6.1,3.74,18333333,16.724231436346816,25.035714285714285,-0.0201,0.018000000000000016,0.413,0.079,2.95,17.107592445517252
2677,Ivan Nova,2017,0.277,0.303,0.33,0.351,0.287,203,732,2205,89.4,11,14,31,785,4.14,203,29,36,131,0.167,0.046,36.8,6.5,4.19,8416666,16.057991656092153,25.322580645161292,0.0069,0.020999999999999963,0.637,0.112,4.21,16.14060067827567
2664,Sonny Gray,2017,0.226,0.27,0.29,0.319,0.249,139,615,2409,89.6,6,5,16,400,3.43,84,8,30,94,0.235,0.075,38.6,6.2,4.9,3575000,15.687312734865866,25,-0.0261,0.029000000000000026,0.553,0.089,3.7,15.595177422105234
2521,Clayton Kershaw,2017,0.212,0.27,0.258,0.27,0.216,136,641,2387,88,18,4,27,679,2.31,136,23,30,202,0.297,0.044,27.2,6.3,2.73,35571428,17.38705328930941,25.14814814814815,-0.0261,0.01200000000000001,0.367,0.085,2.74,17.28971168309277
2461,Tyler Chatwood,2017,0.25,0.286,0.338,0.338,0.258,136,543,2510,91.5,8,15,33,631,4.69,136,20,77,120,0.19,0.122,32.1,5.6,5.3,4400000,16.34123920227253,19.12121212121212,-0.0101,0,0.838,0.146,4.4,15.518448131374882
2276,Kyle Hendricks,2017,0.242,0.285,0.291,0.312,0.257,126,521,2063,82.8,7,5,24,570,3.03,126,17,40,123,0.216,0.07,29.3,4.4,3.44,760500,15.244624916267092,23.75,-0.0111,0.02100000000000002,0.689,0.103,3.12,14.998371029418967
2181,Kenta Maeda,2017,0.238,0.283,0.303,0.295,0.235,121,508,2292,86.3,13,6,29,557,4.22,121,22,34,140,0.251,0.061,28.3,4.8,3.81,7375000,15.627889314395064,19.20689655172414,-0.0131,-0.008000000000000007,0.879,0.149,3.89,16.020828067892584
2016,James Shields,2017,0.253,0.271,0.348,0.359,0.268,116,459,2295,84.8,5,7,21,516,5.23,116,27,53,103,0.2,0.103,37.7,8.7,4.53,21000000,16.860032995687696,24.571428571428573,-0.0251,0.01100000000000001,0.601,0.139,5.15,16.832984216108592
1531,Doug Fister,2017,0.254,0.305,0.312,0.321,0.251,87,343,2033,85.7,5,9,18,392,4.88,87,9,38,83,0.212,0.097,34.8,4.9,4.5,2200000,15.068273526459642,21.77777777777778,0.0089,0.009000000000000008,0.996,0.14,4.52,15.17531585751971
1447,Brandon McCarthy,2017,0.256,0.308,0.292,0.303,0.26,89,347,2330,89.7,6,4,19,384,3.98,89,5,27,72,0.188,0.07,21.3,1.4,4.92,11500000,16.25785759333348,20.210526315789473,0.0119,0.01100000000000001,2.843,0.187,2.06,16.083919801417924
736,Chad Bettis,2017,0.286,0.303,0.349,0.319,0.269,52,182,1852,86.1,2,4,9,200,5.05,52,8,11,30,0.15,0.055,27.2,4.4,5.01,545000,14.508657738524219,22.22222222222222,0.0069,-0.02999999999999997,1.148,0.186,4.3,14.719755965212713
3493,Max Scherzer,2018,0.188,0.267,0.252,0.253,0.189,150,797,2302,89.4,18,7,33,866,2.53,150,23,51,300,0.346,0.059,31.7,6.6,2.92,22242857,17.439999799942317,26.242424242424242,-0.0291,0.0010000000000000009,0.383,0.08,2.98,17.03851426320432
3257,Gerrit Cole,2018,0.198,0.288,0.265,0.275,0.2,143,723,2470,91.9,15,5,32,799,2.88,143,19,64,276,0.345,0.08,39.8,6.2,2.5,6750000,16.41820024340866,24.96875,-0.0081,0.010000000000000009,0.465,0.072,3.32,16.151386506665904
3212,Zack Greinke,2018,0.231,0.273,0.286,0.31,0.249,181,784,2257,85.3,15,11,33,839,3.21,181,28,43,199,0.237,0.051,33.5,6.4,2.9,34000000,17.356469882001587,25.424242424242426,-0.0231,0.02400000000000002,0.502,0.096,3.47,17.43849483103084
3212,Jacob deGrom,2018,0.196,0.283,0.23,0.249,0.203,152,776,2292,92.6,10,9,32,835,1.7,152,10,46,269,0.322,0.055,28.9,4.1,2.43,7400000,16.06680235657077,26.09375,-0.0131,0.01899999999999999,0.415,0.059,2.26,16.341663082978627
3181,Corey Kluber,2018,0.224,0.277,0.27,0.285,0.233,179,800,2419,88.7,20,7,33,842,2.89,179,25,34,222,0.264,0.04,34.5,6.4,5.8,10700000,16.689075197544057,25.515151515151516,-0.0191,0.014999999999999958,0.452,0.084,3.26,16.613826801651726
3142,Patrick Corbin,2018,0.218,0.304,0.265,0.289,0.236,162,742,2279,85.2,11,7,33,800,3.15,162,15,48,246,0.308,0.06,35.6,6,3.25,7500000,16.374028973482616,24.242424242424242,0.0079,0.023999999999999966,0.525,0.088,3.45,16.06928958631546
3096,Rick Porcello,2018,0.241,0.286,0.303,0.314,0.245,177,735,2415,86.1,17,7,33,808,4.28,177,27,48,190,0.235,0.059,35.7,7,5.52,21125000,16.865967731207512,24.484848484848484,-0.0101,0.01100000000000001,0.611,0.12,4.32,17.02822376599442
3077,Jake Odorizzi,2018,0.242,0.293,0.322,0.337,0.247,151,625,2130,87.2,7,10,32,711,4.49,151,20,70,162,0.228,0.098,39,7.4,3.51,6300000,16.06680235657077,22.21875,-0.0031,0.015000000000000013,0.607,0.115,4.56,15.877037942072477
