yearID,W,ERA,RA
1921,75,3.98,696
1921,77,3.7,681
1921,79,3.9,697
1921,62,4.94,858
1921,64,4.39,773
1921,70,3.46,649
1921,94,3.9,712
1921,71,4.4,852
1921,94,3.55,637
1921,98,3.82,708
1921,53,4.61,894
1921,51,4.48,919
1921,90,3.17,595
1921,81,4.61,845
1921,87,3.62,681
1921,80,3.97,738
1922,61,4.3,769
1922,76,4.05,754
1922,53,4.37,822
1922,77,3.94,691
1922,80,4.34,808
1922,86,3.53,677
1922,78,4.59,817
1922,79,4.27,791
1922,93,3.45,658
1922,94,3.39,618
1922,65,4.59,830
1922,57,4.64,920
1922,85,3.98,736
1922,93,3.38,643
1922,85,4.44,819
1922,69,3.81,706
1923,61,4.2,809
1923,76,3.74,741
1923,54,4.21,798
1923,69,4.05,741
1923,83,3.82,704
1923,91,3.21,629
1923,82,3.91,746
1923,83,4.09,741
1923,95,3.9,679
1923,98,3.62,622
1923,69,4.08,761
1923,50,5.34,1008
1923,87,3.87,696
1923,74,3.93,720
1923,79,3.87,732
1923,75,3.98,747
1924,67,4.35,806
1924,92,3.64,675
1924,53,4.46,800
1924,66,4.74,858
1924,81,3.83,699
1924,83,3.12,579
1924,67,4.4,814
1924,86,4.19,796
1924,93,3.62,641
1924,89,3.86,667
1924,71,4.39,778
1924,55,4.87,849
1924,90,3.27,588
1924,74,4.57,809
1924,65,4.15,750
1924,92,3.34,613
1925,47,4.97,922
1925,68,4.77,866
1925,70,4.39,802
1925,79,4.29,770
1925,68,4.41,773
1925,80,3.38,643
1925,70,4.49,817
1925,81,4.61,829
1925,86,3.94,702
1925,69,4.33,774
1925,88,3.87,713
1925,68,5.02,930
1925,95,3.87,715
1925,82,4.92,906
1925,77,4.36,764
1925,96,3.7,670
1926,46,4.72,835
1926,71,3.82,705
1926,66,4.01,719
1926,81,3.74,665
1926,82,3.26,602
1926,87,3.42,651
1926,88,3.4,612
1926,79,4.41,830
1926,74,3.77,668
1926,91,3.86,713
1926,83,3,570
1926,58,5.03,900
1926,84,3.67,689
1926,62,4.66,845
1926,89,3.67,678
1926,81,4.34,761
1927,51,4.72,856
1927,65,3.36,619
1927,60,4.22,771
1927,70,3.91,708
1927,85,3.65,661
1927,75,3.54,653
1927,66,4.27,766
1927,82,4.14,805
1927,92,3.97,720
1927,110,3.2,599
1927,91,3.97,726
1927,51,5.36,903
