player_name,Salary (t+1)
Mike Leake,15000000
Madison Bumgarner,6000000
Merrill Kelly,3000000
Luke Weaver,597000
Caleb Smith,586500
Zac Gallen,575000
Alex Young,575000
Corbin Martin,565700
Jeremy Beasley,563500
Cole Hamels,18000000
Felix Hernandez,1000000
Tom Milone,1000000
Max Fried,583500
Michael Soroka,583500
Kyle Wright,573500
Ian Anderson,563500
Alex Cobb,14000000
Wade LeBlanc,800000
Jorge Lopez,586750
John Means,580000
Keegan Akin,563500
Bruce Zimmerman,563500
Chris Sale,30000000
Nathan Eovaldi,17000000
Eduardo Rodriguez,8300000
Martin Perez,5700000
Zack Godley,1500000
Tanner Houck,563500
Mike Kickham,563500
Dallas Keuchel,18000000
Carlos Rodon,4450000
Lucas Giolito,627000
Reynaldo Lopez,605000
Dylan Cease,575000
Dane Dunning,563500
Yu Darvish,22000000
Jon Lester,20000000
Tyler Chatwood,13000000
Kyle Hendricks,12000000
Alec Mills,569500
Adbert Alzolay,563500
Trevor Bauer,17500000
Sonny Gray,10203667
Wade Miley,6000000
Luis Castillo,663500
Tyler Mahle,609793
Carlos Carrasco,10250000
Shane Bieber,623200
Cal Quantrill,571800
Aaron Civale,563500
Zach Plesac,563500
Jon Gray,5600000
German Marquez,4800000
Kyle Freeland,2875000
Antonio Senzatela,573500
Ryan Castellani,563500
Matt Boyd,5300000
Michael Fulmer,2800000
Ivan Nova,1593000
Spencer Turnbull,573500
Dario Agrazal,563500
Casey Mize,563500
Tarik Skubal,563500
Zack Greinke,35000000
Justin Verlander,33000000
Lance McCullers,4100000
Josh James,590700
Framber Valdez,582200
Jose Urquidy,574600
Rogelio Armenteros,569100
Cristian Javier,563500
Danny Duffy,15250000
Mike Montgomery,3100000
Brad Keller,613000
Jake Junis,608000
Glenn Sparkman,604500
Kris Bubic,563500
Carlos Hernandez,563500
Brady Singer,563500
Julio Teheran,9000000
Dylan Bundy,5000000
Andrew Heaney,4300000
Griffin Canning,570500
David Price,32000000
Clayton Kershaw,31000000
Julio Urias,1000000
Walker Buehler,603500
Dustin May,573500
Anthony Gonsolin,566000
Brusdar Graterol,566000
Jose Urena,3750000
Sandy Alcantara,620000
Pablo Lopez,575000
Elieser Hernandez,571500
Daniel Castano,563500
Trevor Rogers,563500
Sixto Sanchez,563500
Brett Anderson,5148000
Josh Lindblom,3226666
Brent Suter,950000
Brandon Woodruff,633100
Adrian Houser,581600
Corbin Burnes,570000
Jake Odorizzi,17800000
Michael Pineda,10000000
Rich Hill,6518518
Kenta Maeda,5310000
Jose Berrios,4025000
Gerrit Cole,36000000
Masahiro Tanaka,23000000
J.A. Happ,17000000
James Paxton,12500000
Luis Severino,10500000
Jordan Montgomery,805000
Deivi Garcia,563500
Clarke Schmidt,563500
Jacob deGrom,25500000
Marcus Stroman,12000000
Rick Porcello,10000000
Noah Syndergaard,9700000
Seth Lugo,2000000
Corey Oswalt,563500
David Peterson,563500
Mike Minor,9833334
Michael Fiers,8100000
Sean Manaea,3750000
Chris Bassitt,2250000
Frankie Montas,573500
Jesus Luzardo,563500
A.J. Puk,563500
Zack Wheeler,21500000
Jake Arrieta,20000000
Aaron Nola,8500000
Vincent Velasquez,3600000
Zach Eflin,2625000
Spencer Howard,563500
Chris Archer,9000000
Trevor Williams,2825000
Joe Musgrove,2800000
Jameson Taillon,2250000
Chad Kuhl,840000
Steven Brault,590500
Mitch Keller,577500
JT Brubaker,563500
Zach Davies,5250000
Mike Clevinger,4100000
Dinelson Lamet,1300000
Chris Paddack,588500
Anderson Espinoza,563500
Johnny Cueto,21000000
Kevin Gausman,9000000
Drew Smyly,4093000
Tyler Anderson,2090000
Tyler Beede,569750
Logan Webb,566625
Yusei Kikuchi,15500000
Marco Gonzales,1000000
Justus Sheffield,566300
Justin Dunn,564500
Gerson Bautista,564100
Nick Margevicius,563500
Ljay Newsome,563500
Miles Mikolas,16750000
Carlos Martinez,11700000
Adam Wainwright,6111111
Kwang-hyun Kim,4000000
Jack Flaherty,604500
Dakota Hudson,580500
Austin Gomber,570000
Ricardo Sanchez,563500
Edwin Nunez,525000
Charlie Morton,15000000
Blake Snell,7600000
Tyler Glasnow,2050000
Ryan Yarbrough,578500
Josh Fleming,563500
Corey Kluber,17500000
Kyle Gibson,11555555
Lance Lynn,11333333
Jordan Lyles,8000000
Brock Burke,564500
Wes Benjamin,563500
Kyle Cody,563500
Hyun-Jin Ryu,20000000
Tanner Roark,12000000
Robbie Ray,9430000
Chase Anderson,8500000
Matt Shoemaker,4200000
Taijuan Walker,2370370
Trent Thornton,581900
Yennsy Diaz,564000
T.J. Zeuch,563500
Nate Pearson,563500
Max Scherzer,35920616
Stephen Strasburg,35000000
Patrick Corbin,19416666
Anibal Sanchez,9555555
Joe Ross,1500000
Austin Voth,568900
Erick Fedde,563500
