player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
A.J. Cole,Fastball,134,93.4,93.8,2331.3,-0.693,1.434,0.007,0.158,0.368,0.125,0.256
A.J. Cole,Off-speed,256,84.4,84.9,2240.9,-0.089,0.555,0.004,0.246,0.400,0.304,0.309
A.J. Minter,Fastball,154,95.5,95.4,2319.8,0.668,1.401,0.006,0.208,0.375,0.267,0.314
A.J. Minter,Off-speed,243,87.1,87.3,2191.8,0.140,0.302,0.004,0.196,0.294,0.286,0.238
Aaron Bummer,Off-speed,155,94.4,94.1,2059.8,0.884,0.069,0.006,0.152,0.152,0.263,0.208
Aaron Civale,Off-speed,1171,85.4,85.3,2480.1,-0.053,0.275,0.001,0.284,0.472,0.337,0.354
Aaron Fletcher,Off-speed,121,89.1,88.6,2064.7,1.106,0.320,0.008,0.350,0.550,0.500,0.533
Aaron Loup,Off-speed,341,87.5,87.2,2270.0,0.816,0.217,0.003,0.200,0.376,0.230,0.301
Aaron Nola,Fastball,290,92.8,93.9,2183.6,-1.152, 1.148,0.003,0.135,0.327,0.114,0.232
Aaron Nola,Off-speed,858,84.6,85.3,2028.2,-0.394,-0.037,0.001,0.224,0.362,0.331,0.295
Aaron Slegers,Off-speed,298,88.2,89.6,1952.9,-0.690,0.516,0.003,0.203,0.257,0.246,0.245
Adam Cimber,Off-speed,127,79.7,79.6,2314.7,0.054,0.064,0.008,0.361,0.556,0.343,0.384
Adam Kolarek,Off-speed,242,87.5,87.8,2126.9,1.242,-0.157,0.004,0.169,0.231,0.189,0.202
Adam Morgan,Off-speed,175,83.3,82.5,2490.1,0.085,0.447,0.006,0.231,0.487,0.250,0.344
Adam Ottavino,Off-speed,338,87.0,88.3,2533.0,0.112,0.361,0.003,0.270,0.419,0.375,0.350
Adam Plutko,Fastball,224,91.0,91.0,2292.8,-0.344,1.491,0.004,0.250,0.433,0.255,0.336
Adam Plutko,Off-speed,222,83.8,83.8,2506.4, 0.387,0.304,0.005,0.319,0.574,0.333,0.404
Adam Wainwright,Off-speed,844,81.3,81.8,2467.6,0.386,-0.070,0.001,0.222,0.364,0.250,0.281
Adbert Alzolay,Fastball,116,94.3,94.1,2398.9,-0.697,1.409,0.009,0.273,0.636,0.222,0.454
Adbert Alzolay,Off-speed,271,86.2,86.1,2575.6, 0.013,0.389,0.004,0.150,0.200,0.265,0.229
Adrian Houser,Fastball,187,93.8,94.4,2166.1,-0.567,1.279,0.005,0.351,0.541,0.480,0.415
Adrian Houser,Off-speed,735,88.9,89.5,2013.9,-0.701,0.239,0.001,0.275,0.445,0.303,0.365
Adrian Morejon,Fastball,181,96.6,96.4,2403.6, 0.876, 1.164,0.006,0.333,0.806,0.259,0.502
Adrian Morejon,Off-speed,141,83.5,83.1,1987.5,-0.191,-0.043,0.007,0.205,0.359,0.375,0.256
Alec Mills,Fastball,243,89.8,89.4,2185.1,-0.798,1.159,0.004,0.320,0.720,0.289,0.462
Alec Mills,Off-speed,702,81.6,81.2,2184.8,-0.473,0.132,0.001,0.206,0.372,0.216,0.291
Alex Claudio,Off-speed,315,78.4,78.0,2051.2,1.020,-0.057,0.003,0.236,0.375,0.268,0.301
Alex Cobb,Off-speed,802,88.7,87.4,2004.2,-0.899,0.473,0.001,0.255,0.422,0.278,0.335
Alex Colome,Fastball,104,94.4,94.4,2116.6,-0.200,1.428,0.010,0.200,0.267,0.250,0.342
Alex Colome,Off-speed,262,89.3,89.4,2147.3, 0.334,0.481,0.004,0.154,0.200,0.192,0.189
Alex Reyes,Fastball,180,97.5,97.6,2546.4,-0.513, 1.532,0.006,0.156,0.281,0.190,0.308
Alex Reyes,Off-speed,189,88.0,87.9,2627.8, 0.126,-0.171,0.005,0.231,0.282,0.409,0.258
Alex Wood,Off-speed,277,87.7,87.6,2119.7,0.809,0.583,0.004,0.304,0.518,0.385,0.430
Alex Young,Fastball,158,91.2,90.2,2292.2,0.794,1.297,0.006,0.290,0.645,0.240,0.428
Alex Young,Off-speed,639,85.3,84.2,2225.3,0.466,0.391,0.002,0.275,0.529,0.298,0.361
Amir Garrett,Fastball,122,94.8,95.3,2216.8,0.930,1.176,0.008,0.174,0.435,0.125,0.278
Amir Garrett,Off-speed,177,85.6,85.8,1856.4,0.062,0.323,0.006,0.154,0.308,0.250,0.264
Andre Scrubb,Off-speed,407,86.3,85.2,2542.8,0.391,-0.077,0.002,0.190,0.241,0.250,0.280
Andrew Chafin,Off-speed,114,89.4,89.9,2276.8,0.624,0.617,0.009,0.208,0.333,0.312,0.268
Andrew Heaney,Fastball,627,91.5,90.9,2435.6,1.154,1.306,0.002,0.267,0.481,0.311,0.368
Andrew Heaney,Off-speed,458,80.8,80.1,2324.8,0.278,0.105,0.002,0.224,0.344,0.292,0.260
Andrew Kittredge,Off-speed,112,90.1,91.2,2510.8,-0.351,0.407,0.009,0.296,0.370,0.333,0.319
Andrew Miller,Off-speed,143,81.8,83.1,2526.8,-0.724,0.075,0.007,0.161,0.194,0.250,0.210
Andrew Suarez,Off-speed,112,85.8,75.1,2157.3,0.399,0.411,0.009,0.269,0.500,0.273,0.367
Andrew Triggs,Off-speed,164,83.5,81.6,2388.9,-0.255,0.134,0.006,0.242,0.515,0.217,0.382
Anibal Sanchez,Fastball,277,89.2,89.3,2148.0,-0.447,1.405,0.004,0.441,0.864,0.400,0.564
Anibal Sanchez,Off-speed,694,82.8,83.0,1814.9,-0.623,0.716,0.001,0.267,0.418,0.325,0.346
Anthony Bass,Off-speed,384,90.6,91.1,2083.1,-0.479,0.680,0.003,0.189,0.300,0.224,0.246
Anthony DeSclafani,Fastball,172,94.8,95.4,2225.2,-0.635,1.358,0.006,0.484,0.871,0.481,0.641
Anthony DeSclafani,Off-speed,430,88.6,89.1,2051.8,-0.243,0.229,0.002,0.248,0.429,0.266,0.331
Anthony Kay,Fastball,231,93.6,92.9,2366.7, 0.537, 1.304,0.004,0.300,0.620,0.375,0.443
Anthony Kay,Off-speed,178,81.8,81.0,2219.7,-0.117,-0.080,0.006,0.219,0.312,0.259,0.236
Anthony Misiewicz,Off-speed,249,87.6,87.2,2571.7,-0.455,0.399,0.004,0.288,0.470,0.405,0.358
Antonio Senzatela,Fastball,635,94.3,94.5,2144.4,-0.490,0.885,0.002,0.315,0.463,0.326,0.384
Antonio Senzatela,Off-speed,501,84.9,84.9,2193.9, 0.206,0.146,0.002,0.186,0.349,0.198,0.254
Archie Bradley,Fastball,165,94.2,94.2,2214.3,-0.747, 1.388,0.006,0.250,0.325,0.333,0.298
Archie Bradley,Off-speed,111,83.9,84.2,1802.6,-0.285,-0.014,0.009,0.241,0.379,0.300,0.284
Aroldis Chapman,Fastball,144,97.8,99.1,2451.4,0.384,1.551,0.007,0.095,0.190,0.222,0.240
Asher Wojciechowski,Fastball,310,90.9,91.7,2145.4,-0.456,1.539,0.003,0.348,0.681,0.360,0.468
Asher Wojciechowski,Off-speed,364,81.8,82.4,2291.2, 0.717,0.244,0.003,0.273,0.519,0.276,0.365
Austin Brice,Fastball,124,93.8,92.4,2251.0,-1.328,0.662,0.008,0.222,0.556,0.400,0.354
Austin Brice,Off-speed,235,86.7,85.5,2424.4,-0.237,0.049,0.004,0.244,0.400,0.286,0.395
Austin Gomber,Fastball,276,92.5,93.1,2151.4, 0.465, 1.549,0.004,0.143,0.161,0.182,0.248
Austin Gomber,Off-speed,250,80.6,81.2,2307.4,-0.247,-0.483,0.004,0.250,0.386,0.333,0.317
Austin Voth,Fastball,546,92.0,92.2,2246.2,-0.513,1.386,0.002,0.330,0.670,0.337,0.482
Austin Voth,Off-speed,349,81.5,81.6,2617.8, 0.635,0.074,0.003,0.216,0.443,0.233,0.300
