Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
2462,2015,0.272,0.304,0.324,0.315,0.254,158,581,2129,87.5,6,6,27,640,4.3,158,18,40,111,0.173,0.062,31.1,5.2,4.39,-0.009000000000000008,23.703703703703702,4.092423609984392
1254,2015,0.272,0.329,0.321,0.331,0.269,91,335,2097,89.2,6,5,16,357,3.6,91,9,17,78,0.218,0.048,41.5,6.2,5.15,0.010000000000000009,22.3125,3.882602184339147
3014,2015,0.265,0.292,0.336,0.318,0.252,193,729,2162,91.5,14,9,32,809,4.67,193,32,63,150,0.185,0.078,32.8,6.1,4.26,-0.018000000000000016,25.28125,4.477407154482607
2478,2015,0.264,0.296,0.334,0.346,0.27,151,573,2202,85.8,9,12,27,636,4.62,151,22,43,121,0.19,0.068,36.7,8.2,3.71,0.011999999999999955,23.555555555555557,4.66491355155009
1481,2015,0.313,0.352,0.382,0.344,0.269,112,358,2277,91.5,4,6,18,399,5.71,112,17,29,77,0.193,0.073,32.9,4.8,4.31,-0.038000000000000034,22.166666666666668,5.0304168875264175
3247,2015,0.238,0.289,0.29,0.292,0.231,183,769,2199,91.3,6,17,33,860,3.02,183,13,73,171,0.199,0.085,27.7,3.6,6.15,0.0020000000000000018,26.060606060606062,2.990087783557374
3275,2015,0.253,0.293,0.322,0.341,0.268,189,748,2078,87.2,11,8,33,843,4.04,189,27,73,171,0.203,0.087,36.6,5.1,3.21,0.019000000000000017,25.545454545454547,4.034960600908249
2909,2015,0.275,0.322,0.316,0.326,0.27,198,720,1864,86.6,7,6,20,509,3.54,132,8,36,90,0.177,0.071,33.1,4.3,3.73,0.010000000000000009,25.45,3.5335378160964233
3010,2015,0.262,0.293,0.325,0.313,0.253,192,732,2022,88.2,11,8,31,792,3.34,192,28,41,153,0.193,0.052,31.9,6.1,4.96,-0.01200000000000001,25.548387096774192,3.52933037422972
1876,2015,0.251,0.29,0.318,0.317,0.248,109,434,2154,92.2,4,7,25,470,4.25,109,17,29,103,0.219,0.062,34.2,6.3,3.61,-0.0010000000000000009,18.8,4.233190444027118
2439,2015,0.27,0.297,0.344,0.34,0.268,151,559,2170,88,9,12,26,622,4.91,151,24,51,109,0.175,0.082,34.8,5.7,3.73,-0.003999999999999948,23.923076923076923,4.660594409608473
3060,2015,0.257,0.31,0.32,0.313,0.248,182,707,1987,88.1,12,10,32,791,4.11,182,20,68,168,0.212,0.086,31.8,4.2,5.44,-0.007000000000000006,24.71875,3.858895761301574
1463,2015,0.297,0.336,0.382,0.361,0.281,100,337,2217,91.3,2,9,18,305,7.06,84,14,25,50,0.164,0.082,37.3,7.7,4.22,-0.02100000000000002,16.944444444444443,6.466049800080226
2943,2015,0.267,0.295,0.331,0.33,0.261,176,660,2136,88.1,11,11,31,741,4.99,176,20,64,120,0.162,0.086,32.3,5.1,3.77,-0.0010000000000000009,23.903225806451612,4.579518801067104
1716,2015,0.26,0.33,0.292,0.283,0.242,114,438,2221,87.4,7,7,18,469,3.26,114,6,23,107,0.228,0.049,31.7,1.8,4.78,-0.009000000000000008,26.055555555555557,2.6217144213052817
2378,2015,0.276,0.32,0.335,0.34,0.273,145,526,2111,92,10,6,25,587,4.82,145,15,49,110,0.187,0.083,41.1,4.5,5.18,0.0050000000000000044,23.48,4.584497907069774
3194,2015,0.265,0.309,0.323,0.319,0.256,201,758,2130,87.8,11,11,32,831,4.46,201,17,64,147,0.177,0.077,31.5,4.5,4.98,-0.0040000000000000036,25.96875,4.117688744217333
2744,2015,0.287,0.333,0.34,0.334,0.272,196,682,2392,88,9,15,28,737,4.92,196,25,38,149,0.202,0.052,36.3,5.6,3.15,-0.006000000000000005,26.321428571428573,4.690625411865492
1178,2015,0.239,0.253,0.315,0.313,0.227,67,280,1858,74.9,5,4,16,310,4.09,67,12,27,52,0.168,0.087,29.1,6.5,3.33,-0.0020000000000000018,19.375,3.994970725970888
3373,2015,0.272,0.33,0.312,0.314,0.267,218,802,1988,87.7,9,10,32,862,3.36,218,16,44,177,0.205,0.051,32.9,4.3,3.2,0.0020000000000000018,26.9375,3.4134937277575146
3323,2015,0.233,0.324,0.285,0.268,0.215,185,794,2217,89.6,13,11,31,854,3.41,185,23,42,274,0.321,0.049,27,4,3.34,-0.01699999999999996,27.548387096774192,3.262608571253806
3339,2015,0.273,0.305,0.33,0.332,0.27,228,836,2273,91.1,11,13,32,910,4.96,228,29,49,163,0.179,0.054,31.8,5.2,3.81,0.0020000000000000018,28.4375,4.552685374797438
3438,2015,0.185,0.247,0.225,0.248,0.207,150,811,2312,91.5,22,6,33,870,1.77,150,10,48,236,0.271,0.055,24.7,2.2,3.1,0.022999999999999993,26.363636363636363,1.9995746144653306
2793,2015,0.244,0.3,0.296,0.297,0.248,166,681,2126,86.4,8,7,32,739,3.95,166,17,43,167,0.226,0.058,28.5,3.3,2.13,0.0010000000000000009,23.09375,3.489818306976961
3185,2015,0.24,0.306,0.289,0.283,0.229,183,764,2209,88.5,11,12,32,828,3.34,183,16,47,207,0.25,0.057,28.4,4.4,2.44,-0.006000000000000005,25.875,3.3057057409553043
3268,2015,0.242,0.284,0.293,0.311,0.251,194,803,2133,89.5,7,6,19,516,2.62,93,11,29,120,0.233,0.056,31.8,4.9,2.79,0.018000000000000016,27.157894736842106,2.965219756627177
2913,2015,0.273,0.324,0.321,0.316,0.257,194,710,2026,90.3,9,13,31,785,4.05,194,17,55,151,0.192,0.07,34.3,4.9,3.28,-0.0050000000000000044,25.322580645161292,3.970457510297355
1566,2015,0.228,0.29,0.3,0.3,0.226,81,356,2222,88.7,3,7,18,395,4.15,81,11,28,104,0.263,0.071,30.9,6.3,2.53,0,21.944444444444443,4.079820136378389
